id,title,priority,status,created_date
1,PC Slow,Low,In Progress,2022-03-16
2,Access Request,Medium,Open,2020-06-26
3,Network Issue,Low,Resolved,2021-04-27
4,Access Request,Medium,In Progress,2020-07-30
5,Software Error,High,Closed,2022-05-01
6,Network Issue,Low,Open,2023-11-25
7,Network Issue,Medium,Open,2024-05-27
8,Password Reset,Urgent,Open,2020-08-24
9,Password Reset,Low,Open,2022-08-05
10,Network Issue,Medium,Closed,2024-06-29
11,Access Request,Low,In Progress,2023-05-19
12,Access Request,Medium,Resolved,2023-12-16
13,Email Not Working,Medium,Closed,2023-09-29
14,Software Error,High,Resolved,2020-01-23
15,Network Issue,Low,In Progress,2021-06-25
16,Access Request,High,In Progress,2020-03-15
17,Access Request,Urgent,In Progress,2020-10-25
18,Network Issue,Low,Open,2021-05-06
19,Password Reset,High,In Progress,2024-09-18
20,PC Slow,High,In Progress,2020-03-26
21,PC Slow,Medium,In Progress,2022-02-22
22,PC Slow,Urgent,Open,2020-10-17
23,PC Slow,Low,In Progress,2024-12-24
24,PC Slow,High,In Progress,2024-02-04
25,PC Slow,High,Closed,2020-12-23
26,Email Not Working,Medium,Resolved,2023-06-07
27,Email Not Working,Medium,Open,2024-04-07
28,Access Request,Medium,In Progress,2020-10-03
29,Access Request,Low,Closed,2022-03-04
30,PC Slow,Urgent,Closed,2022-11-15
